Gene,logFC,pvalue,literature_mentions,document_occurrences,cooccurrence_score,Entrez Gene Name,Location,Type(s),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,abs_logFC,significance_p,neg_log10_p,abs_logFC_scaled,neg_log10_p_scaled,literature_mentions_scaled,document_occurrences_scaled,cooccurrence_score_scaled,gene_evidence_score,rank
PIK3R1,-2.107,3.3e-27,0,0,0,phosphoinositide-3-kinase regulatory subunit 1,Cytoplasm,kinase,,,,,,,,,,,,,,,2.107,3.3e-27,26.481486060122112,0.01910598413842829,0.14541790974010055,0.0,0.0,0.0,0.04017567426271079,326
SPTBN1,-2.287,6.279999999999999e-23,0,0,0,"spectrin beta, non-erythrocytic 1",Plasma Membrane,other,,,,,,,,,,,,,,,2.287,6.279999999999999e-23,22.202040356262803,0.05155010814708,0.11694032074471308,0.0,0.0,0.0,0.03954510181559427,327
SEMA3G,-2.258,1.55e-23,0,0,0,semaphorin 3G,Cytoplasm,other,,,,,,,,,,,,,,,2.258,1.55e-23,22.80966830182971,0.046322999279019506,0.12098378340165511,0.0,0.0,0.0,0.039510545706217676,328
ADAMTS1,-2.512,5.41e-18,0,0,0,ADAM metallopeptidase with thrombospondin type 1 motif 1,Extracellular Space,peptidase,,,,,,,,,,,,,,,2.512,5.41e-18,17.26680273489343,0.09210526315789475,0.0840987617434656,0.0,0.0,0.0,0.039445743067445346,329
CEACAM7,-2.387,1.14e-20,0,0,0,CEA cell adhesion molecule 7,Plasma Membrane,other,,,,,,,,,,,,,,,2.387,1.14e-20,19.943095148663527,0.06957462148521992,0.10190816059203289,0.0,0.0,0.0,0.039391964445052205,330
HBP1,-2.371,5.290000000000001e-21,0,0,0,HMG-box transcription factor 1,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.371,5.290000000000001e-21,20.276544327964814,0.06669069935111754,0.10412709952387347,0.0,0.0,0.0,0.03936991475119188,331
PDE9A,-2.373,5.850000000000001e-21,0,0,0,phosphodiesterase 9A,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.373,5.850000000000001e-21,20.23284413391782,0.06705118961788037,0.10383629640328085,0.0,0.0,0.0,0.03936931202439629,332
GPR146,-2.253,1.7799999999999998e-23,0,0,0,G protein-coupled receptor 146,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,,2.253,1.7799999999999998e-23,22.749579997691107,0.045421773612112526,0.12058392553521557,0.0,0.0,0.0,0.0392303361062264,333
GABARAPL1,-2.008,1.03e-28,0,0,0,GABA type A receptor associated protein like 1,Cytoplasm,other,,,,,,,,,,,,,,,2.008,1.03e-28,27.987162775294827,0.0012617159336698047,0.15543744161918133,0.0,0.0,0.0,0.039111703591529295,334
MEGF10,-2.355,4.6300000000000004e-21,0,0,0,multiple EGF like domains 10,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,,2.355,4.6300000000000004e-21,20.334419008982046,0.06380677721701516,0.10451222682616909,0.0,0.0,0.0,0.038889412149945304,335
ASPM,2.341,2.4400000000000002e-21,0,0,0,assembly factor for spindle microtubules,Nucleus,other,,,,,,,,,,,,,,,2.341,2.4400000000000002e-21,20.61261017366127,0.06128334534967561,0.10636345107297718,0.0,0.0,0.0,0.03884753183817942,336
ENPP5,-2.129,6.76e-26,0,0,0,ectonucleotide pyrophosphatase/phosphodiesterase family member 5,Extracellular Space,enzyme,,,,,,,,,,,,,,,2.129,6.76e-26,25.170053304058364,0.023071377072819033,0.1366909750839156,0.0,0.0,0.0,0.038787019185542705,337
MOGAT1,-2.498,8.17e-18,0,0,0,monoacylglycerol O-acyltransferase 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.498,8.17e-18,17.087777943467586,0.08958183129055519,0.0829074405343631,0.0,0.0,0.0,0.03864322639170181,338
TNIP3,2.769,6.12e-12,0,0,0,TNFAIP3 interacting protein 3,Cytoplasm,other,,,,,,,,,,,,,,,2.769,6.12e-12,11.213248577854438,0.13842826243691425,0.04381536076702383,0.0,0.0,0.0,0.03863949267913881,339
ZNF606,-2.007,2.54e-28,0,0,0,zinc finger protein 606,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.007,2.54e-28,27.595166283380063,0.00108147080028842,0.15282889935532806,0.0,0.0,0.0,0.0384235189988897,340
SEPTIN11,-2.348,7.580000000000001e-21,0,0,0,septin 11,Nucleus,other,,,,,,,,,,,,,,,2.348,7.580000000000001e-21,20.120330794367945,0.06254506128334536,0.10308757592359108,0.0,0.0,0.0,0.038280906237566845,341
RAD51AP1,2.074,1.38e-26,0,0,0,RAD51 associated protein 1,Nucleus,other,,,,,,,,,,,,,,,2.074,1.38e-26,25.860120913598763,0.01315789473684209,0.1412830328230286,0.0,0.0,0.0,0.037952337153125563,342
DDIT4,-2.444,1.56e-18,0,0,0,DNA damage inducible transcript 4,Cytoplasm,other,,,,,,,,,,,,,,,2.444,1.56e-18,17.806875401645538,0.07984859408795963,0.08769267752034748,0.0,0.0,0.0,0.0378928881976788,343
CDK1,2.343,1.14e-20,0,0,0,cyclin dependent kinase 1,Nucleus,kinase,,,,,,,,,,,,,,,2.343,1.14e-20,19.943095148663527,0.06164383561643838,0.10190816059203289,0.0,0.0,0.0,0.0378058072712959,344
PADI2,-2.322,5.100000000000001e-21,0,0,0,peptidyl arginine deiminase 2,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.322,5.100000000000001e-21,20.292429823902065,0.05785868781542902,0.10423280962176792,0.0,0.0,0.0,0.03762993996852779,345
BACH2,-2.008,8.25e-28,0,0,0,BTB domain and CNC homolog 2,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.008,8.25e-28,27.083546051450075,0.0012617159336698047,0.14942432042271356,0.0,0.0,0.0,0.03760842329241235,346
ATP10B,2.042,1.25e-26,0,0,0,ATPase phospholipid transporting 10B (putative),Plasma Membrane,transporter,,,,,,,,,,,,,,,2.042,1.25e-26,25.903089986991944,0.0073900504686373325,0.14156897069823055,0.0,0.0,0.0,0.0368702527682851,347
ELAPOR1,-2.275,3.4300000000000004e-21,0,0,0,endosome-lysosome associated apoptosis and autophagy regulator 1,Plasma Membrane,other,,,,,,,,,,,,,,,2.275,3.4300000000000004e-21,20.46470587995723,0.049387166546503214,0.10537922134365538,0.0,0.0,0.0,0.03622223864521449,348
LARP6,-2.126,2.4e-24,0,0,0,"La ribonucleoprotein 6, translational regulator",Cytoplasm,other,,,,,,,,,,,,,,,2.126,2.4e-24,23.619788758288394,0.022530641672674823,0.1263747333031764,0.0,0.0,0.0,0.036099811660329065,349
INSR,-2.12,1.96e-24,0,0,0,insulin receptor,Plasma Membrane,kinase,,,,,,,,,,,,,,,2.12,1.96e-24,23.707743928643524,0.021449170872386458,0.12696003134519476,0.0,0.0,0.0,0.036029842010775984,350
CCNB2,2.043,5.21e-26,0,0,0,cyclin B2,Cytoplasm,other,,,,,,,,,,,,,,,2.043,5.21e-26,25.283162276700477,0.007570295602018773,0.1374436592064616,0.0,0.0,0.0,0.03587497392201915,351
SOX9,-2.299,2.01e-20,0,0,0,SRY-box transcription factor 9,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.299,2.01e-20,19.69680394257951,0.05371304974765684,0.10026921475058578,0.0,0.0,0.0,0.035809913637177816,352
KIF4A,2.127,4.4299999999999996e-24,0,0,0,kinesin family member 4A,Nucleus,other,,,,,,,,,,,,,,,2.127,4.4299999999999996e-24,23.35359627377693,0.022710886806056207,0.12460335432277661,0.0,0.0,0.0,0.035693015941905396,353
ZWINT,2.048,1.07e-25,0,0,0,ZW10 interacting kinetochore protein,Nucleus,other,,,,,,,,,,,,,,,2.048,1.07e-25,24.970616222314792,0.008471521268925752,0.13536382020513982,0.0,0.0,0.0,0.03553525930507011,354
RORC,-2.165,4.38e-23,0,0,0,RAR related orphan receptor C,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,,2.165,4.38e-23,22.3585258894959,0.029560201874549386,0.11798165436769081,0.0,0.0,0.0,0.03540745396683258,355
BTNL9,-2.358,7.17e-19,0,0,0,butyrophilin like 9,Plasma Membrane,other,,,,,,,,,,,,,,,2.358,7.17e-19,18.1444808443322,0.06434751261715937,0.08993927432393967,0.0,0.0,0.0,0.03535432110441679,356
ZBTB16,-2.611,2.37e-13,0,0,0,zinc finger and BTB domain containing 16,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.611,2.37e-13,12.625251653989896,0.10994953136265323,0.05321154103077752,0.0,0.0,0.0,0.03529279153022503,357
SSPN,-2.363,1.46e-18,0,0,0,sarcospan,Plasma Membrane,other,,,,,,,,,,,,,,,2.363,1.46e-18,17.835647144215564,0.06524873828406635,0.08788413919933348,0.0,0.0,0.0,0.03502078245664664,358
GM2A,2.67,7.57e-12,0,0,0,ganglioside GM2 activator,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.67,7.57e-12,11.120904120499928,0.12058399423215571,0.04320085419665837,0.0,0.0,0.0,0.034917012395595734,359
XAF1,2.206,6.84e-22,0,0,0,XIAP associated factor 1,Nucleus,other,,,,,,,,,,,,,,,2.206,6.84e-22,21.164943898279883,0.03695025234318672,0.11003895810974024,0.0,0.0,0.0,0.034899789996072406,360
KREMEN1,2.194,6.28e-22,0,0,0,kringle containing transmembrane protein 1,Plasma Membrane,other,,,,,,,,,,,,,,,2.194,6.28e-22,21.202040356262803,0.034787310742609934,0.11028581664159859,0.0,0.0,0.0,0.03452891630892163,361
DSG2,-2.03,2.83e-25,0,0,0,desmoglein 2,Plasma Membrane,other,,,,,,,,,,,,,,,2.03,2.83e-25,24.54821356447571,0.005227108868060548,0.13255293998538317,0.0,0.0,0.0,0.0341836567699579,362
MYBPC1,-2.428,1.36e-16,0,0,0,myosin binding protein C1,Cytoplasm,other,,,,,,,,,,,,,,,2.428,1.36e-16,15.866461091629782,0.07696467195385726,0.07478018253260556,0.0,0.0,0.0,0.03408798002392284,363
NR4A2,-2.014,1.78e-25,0,0,0,nuclear receptor subfamily 4 group A member 2,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,,2.014,1.78e-25,24.749579997691107,0.002343186733958169,0.13389293374144456,0.0,0.0,0.0,0.03394187078215277,364
PLAAT3,-2.65,1.24e-11,0,0,0,phospholipase A and acyltransferase 3,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.65,1.24e-11,10.906578314837764,0.11697909156452774,0.04177462224347618,0.0,0.0,0.0,0.03383947387377459,365
G0S2,-2.742,1.39e-09,0,0,0,G0/G1 switch 2,Cytoplasm,other,,,,,,,,,,,,,,,2.742,1.39e-09,8.856985199745905,0.13356164383561642,0.028135596449382187,0.0,0.0,0.0,0.033746227879468835,366
ADH1B,-2.451,7.24e-16,0,0,0,"alcohol dehydrogenase 1B (class I), beta polypeptide",Cytoplasm,enzyme,,,,,,,,,,,,,,,2.451,7.24e-16,15.140261433802854,0.08111031002162944,0.06994768392991593,0.0,0.0,0.0,0.03370898298680487,367
SPX,-2.612,2.51e-12,0,0,0,spexin hormone,Nucleus,other,,,,,,,,,,,,,,,2.612,2.51e-12,11.600326278518962,0.11012977649603461,0.04639117091432003,0.0,0.0,0.0,0.033623748027786934,368
SCGB2A1,-2.647,1.64e-11,0,0,0,secretoglobin family 2A member 1,Extracellular Space,other,,,,,,,,,,,,,,,2.647,1.64e-11,10.785156151952302,0.11643835616438353,0.04096661796234584,0.0,0.0,0.0,0.03352932572346316,369
KRT19,-2.688,1.79e-10,0,0,0,keratin 19,Cytoplasm,other,,,,,,,,,,,,,,,2.688,1.79e-10,9.747146969020108,0.12382840663302097,0.03405918159545303,0.0,0.0,0.0,0.03328047672546745,370
UBN2,-2.113,6.22e-23,0,0,0,ubinuclein 2,Nucleus,other,,,,,,,,,,,,,,,2.113,6.22e-23,22.20620961530918,0.020187454938716654,0.11696806509614416,0.0,0.0,0.0,0.03327950726177937,371
FXYD6,-2.211,8.580000000000001e-21,0,0,0,FXYD domain containing ion transport regulator 6,Plasma Membrane,ion channel,,,,,,,,,,,,,,,2.211,8.580000000000001e-21,20.066512712151294,0.0378514780100937,0.10272944327465863,0.0,0.0,0.0,0.033252656420683396,372
ACTA2,-2.424,4.02e-16,0,0,0,"actin alpha 2, smooth muscle",Cytoplasm,other,,,,,,,,,,,,,,,2.424,4.02e-16,15.39577394691553,0.07624369142033166,0.07164799299682133,0.0,0.0,0.0,0.033160736533271666,373
AMMECR1,2.502,2.5e-14,0,0,0,AMMECR nuclear protein 1,Nucleus,other,,,,,,,,,,,,,,,2.502,2.5e-14,13.602059991327963,0.09030281182408073,0.05971171611955013,0.0,0.0,0.0,0.03298849139470368,374
SLC23A2,2.483,1.12e-14,0,0,0,solute carrier family 23 member 2,Plasma Membrane,transporter,,,,,,,,,,,,,,,2.483,1.12e-14,13.950781977329818,0.0868781542898342,0.06203228800624572,0.0,0.0,0.0,0.03288370285952827,375
FLT1,-2.085,3.87e-23,0,0,0,fms related receptor tyrosine kinase 1,Plasma Membrane,kinase,,,,,,,,,,,,,,,2.085,3.87e-23,22.41228903498109,0.01514059120403749,0.11833942143991832,0.0,0.0,0.0,0.032612973600787076,376
SEC14L4,-2.484,1.77e-14,0,0,0,SEC14 like lipid binding 4,Other,other,,,,,,,,,,,,,,,2.484,1.77e-14,13.752026733638193,0.08705839942321558,0.060709670421584275,0.0,0.0,0.0,0.03258909749003919,377
FRYL,-2.168,2.5600000000000007e-21,0,0,0,FRY like transcription coactivator,Other,other,,,,,,,,,,,,,,,2.168,2.5600000000000007e-21,20.59176003468815,0.030100937274693595,0.10622470373763004,0.0,0.0,0.0,0.03257636338934623,378
AGTR1,-2.642,5.06e-11,0,0,0,angiotensin II receptor type 1,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,,2.642,5.06e-11,10.2958494831602,0.11553713049747655,0.037710524727187514,0.0,0.0,0.0,0.03253505728129219,379
SOX17,-2.239,1.1e-19,0,0,0,SRY-box transcription factor 17,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.239,1.1e-19,18.958607314841775,0.04289834174477286,0.09535688226239974,0.0,0.0,0.0,0.03241888891455451,380
SPRR3,2.61,1.36e-11,0,0,0,small proline rich protein 3,Cytoplasm,other,,,,,,,,,,,,,,,2.61,1.36e-11,10.866461091629782,0.10976928622927179,0.0415076620170331,0.0,0.0,0.0,0.03233077275011263,381
ABCA9,-2.325,9.11e-18,0,0,0,ATP binding cassette subfamily A member 9,Other,transporter,,,,,,,,,,,,,,,2.325,9.11e-18,17.040481623027002,0.05839942321557323,0.08259270697592902,0.0,0.0,0.0,0.0323280613870969,382
LGALS2,2.58,4.06e-12,0,0,0,galectin 2,Cytoplasm,other,,,,,,,,,,,,,,,2.58,4.06e-12,11.391473966422806,0.10436193222782986,0.04500136234653121,0.0,0.0,0.0,0.032122727032198775,383
CHASERR,-2.038,7.42e-24,0,0,0,CHD2 adjacent suppressive regulatory RNA,Other,other,,,,,,,,,,,,,,,2.038,7.42e-24,23.129596094720974,0.006669069935111738,0.12311274421215038,0.0,0.0,0.0,0.03211200004005994,384
MAOA,-2.13,1.2800000000000001e-21,0,0,0,monoamine oxidase A,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.13,1.2800000000000001e-21,20.89279003035213,0.023251622206200417,0.10822790907893654,0.0,0.0,0.0,0.03170730171097422,385
UNC93A,2.349,7.6e-17,0,0,0,unc-93 homolog A,Plasma Membrane,other,,,,,,,,,,,,,,,2.349,7.6e-17,16.11918640771921,0.0627253064167268,0.07646194418548356,0.0,0.0,0.0,0.03166054732971625,386
LIFR,-2.334,4.44e-17,0,0,0,LIF receptor subunit alpha,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,,2.334,4.44e-17,16.35261702988538,0.060021629416005806,0.07801530921848092,0.0,0.0,0.0,0.031508153187821394,387
OSMR,-2.404,1.53e-15,0,0,0,oncostatin M receptor,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,,2.404,1.53e-15,14.8153085691824,0.07263878875270369,0.06778528375898031,0.0,0.0,0.0,0.03147407869028582,388
FNIP1,-2.378,7.61e-16,0,0,0,folliculin interacting protein 1,Cytoplasm,other,,,,,,,,,,,,,,,2.378,7.61e-16,15.118615343229427,0.06795241528478735,0.06980363993137867,0.0,0.0,0.0,0.031041393039802138,389
C11ORF96,-2.498,3.28e-13,0,0,0,chromosome 11 open reading frame 96,Other,other,,,,,,,,,,,,,,,2.498,3.28e-13,12.48412615628832,0.08958183129055519,0.05227242082726831,0.0,0.0,0.0,0.030984471464928116,390
PPARG,-2.433,1.55e-14,0,0,0,peroxisome proliferator activated receptor gamma,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,,2.433,1.55e-14,13.809668301829708,0.07786589762076424,0.06109324647362467,0.0,0.0,0.0,0.030846491142559017,391
OSBPL8,-2.001,8.66e-24,0,0,0,oxysterol binding protein like 8,Plasma Membrane,transporter,,,,,,,,,,,,,,,2.001,8.66e-24,23.062482107982653,0.0,0.12266613391202386,0.0,0.0,0.0,0.030666533478005964,392
PPP1R15A,-2.051,1.42e-22,0,0,0,protein phosphatase 1 regulatory subunit 15A,Cytoplasm,other,,,,,,,,,,,,,,,2.051,1.42e-22,21.847711655616944,0.009012256669069962,0.11458243895241399,0.0,0.0,0.0,0.03044806107191749,393
CENPE,2.168,5.06e-20,0,0,0,centromere protein E,Nucleus,other,,,,,,,,,,,,,,,2.168,5.06e-20,19.2958494831602,0.030100937274693595,0.09760106165521792,0.0,0.0,0.0,0.0304204528687432,394
KIF2C,2.123,6.310000000000001e-21,0,0,0,kinesin family member 2C,Nucleus,other,,,,,,,,,,,,,,,2.123,6.310000000000001e-21,20.199970640755865,0.021989906272530668,0.1036175396081509,0.0,0.0,0.0,0.03030236615654386,395
DNER,-2.458,1.5e-13,0,0,0,delta/notch like EGF repeat containing,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,,2.458,1.5e-13,12.823908740944319,0.08237202595529924,0.0545335054310285,0.0,0.0,0.0,0.030107781548816975,396
MB,-2.263,1.2e-17,0,0,0,myoglobin,Cytoplasm,transporter,,,,,,,,,,,,,,,2.263,1.2e-17,16.920818753952375,0.04722422494592643,0.08179640992268146,0.0,0.0,0.0,0.02989394746985565,397
PLA2G2F,2.192,3.98e-19,0,0,0,phospholipase A2 group IIF,Extracellular Space,enzyme,,,,,,,,,,,,,,,2.192,3.98e-19,18.400116927926312,0.03442682047584722,0.09164040569112081,0.0,0.0,0.0,0.029795465517949645,398
IMMP2L,-2.09,3.0600000000000007e-21,0,0,0,inner mitochondrial membrane peptidase subunit 2,Cytoplasm,peptidase,,,,,,,,,,,,,,,2.09,3.0600000000000007e-21,20.51427857351842,0.01604181687094447,0.10570910303636077,0.0,0.0,0.0,0.029635639133279087,399
TALAM1,-2.125,3.31e-20,0,0,0,"TALAM1 transcript, MALAT1 antisense RNA",Other,other,,,,,,,,,,,,,,,2.125,3.31e-20,19.480172006224283,0.022350396539293438,0.0988276366412443,0.0,0.0,0.0,0.029176988468169764,400
KCNK5,-2.141,9.31e-20,0,0,0,potassium two pore domain channel subfamily K member 5,Plasma Membrane,ion channel,,,,,,,,,,,,,,,2.141,9.31e-20,19.031050319018657,0.025234318673395817,0.09583895453093674,0.0,0.0,0.0,0.02900660236741335,401
SH3PXD2A-AS1,2.313,1.01e-15,0,0,0,SH3PXD2A antisense RNA 1,Other,other,,,,,,,,,,,,,,,2.313,1.01e-15,14.995678626217357,0.05623648161499645,0.06898555704359842,0.0,0.0,0.0,0.028493685583898896,402
PALM2AKAP2,-2.117,7.65e-20,0,0,0,PALM2 and AKAP2 fusion,Plasma Membrane,other,,,,,,,,,,,,,,,2.117,7.65e-20,19.116338564846384,0.02090843547224225,0.0964065055127448,0.0,0.0,0.0,0.028283313472634648,403
IL6ST,-2.166,1.11e-18,0,0,0,interleukin 6 cytokine family signal transducer,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,,2.166,1.11e-18,17.954677021213342,0.02974044700793077,0.08867622400420841,0.0,0.0,0.0,0.028117145402638256,404
STS,2.146,5.9e-19,0,0,0,steroid sulfatase,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.146,5.9e-19,18.229147988357855,0.026135544340302796,0.09050269218125737,0.0,0.0,0.0,0.0278527819133749,405
EPCAM,-2.152,8.76e-19,0,0,0,epithelial cell adhesion molecule,Plasma Membrane,other,,,,,,,,,,,,,,,2.152,8.76e-19,18.05749589383192,0.027217015140591216,0.08936043261392633,0.0,0.0,0.0,0.027783511181599826,406
FGFBP2,-2.31,2.4e-15,0,0,0,fibroblast growth factor binding protein 2,Extracellular Space,other,,,,,,,,,,,,,,,2.31,2.4e-15,14.619788758288394,0.05569574621485224,0.06648419637514598,0.0,0.0,0.0,0.02776019833675694,407
CHRM3,-2.09,4.33e-20,0,0,0,cholinergic receptor muscarinic 3,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,,2.09,4.33e-20,19.363512103646634,0.01604181687094447,0.0980513228408724,0.0,0.0,0.0,0.027721194084406993,408
CLSTN2,-2.251,1.42e-16,0,0,0,calsyntenin 2,Plasma Membrane,transporter,,,,,,,,,,,,,,,2.251,1.42e-16,15.847711655616944,0.045061283345349645,0.07465541433372705,0.0,0.0,0.0,0.02767611025250169,409
FOXC1,-2.025,1.9000000000000006e-21,0,0,0,forkhead box C1,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.025,1.9000000000000006e-21,20.72124639904717,0.004325883201153569,0.10708637128055454,0.0,0.0,0.0,0.02763676946036935,410
MMP7,-2.362,4.07e-14,0,0,0,matrix metallopeptidase 7,Extracellular Space,peptidase,,,,,,,,,,,,,,,2.362,4.07e-14,13.39040559077478,0.06506849315068497,0.058303261042626744,0.0,0.0,0.0,0.02758951389079368,411
ALDH3B2,2.46,6.31e-12,0,0,0,aldehyde dehydrogenase 3 family member B2,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.46,6.31e-12,11.199970640755865,0.08273251622206201,0.04372700268012049,0.0,0.0,0.0,0.027478253914442526,412
SLC26A2,-2.114,2.28e-19,0,0,0,solute carrier family 26 member 2,Plasma Membrane,transporter,,,,,,,,,,,,,,,2.114,2.28e-19,18.642065152999546,0.02036770007209804,0.0932504511476119,0.0,0.0,0.0,0.027386152801322585,413
CYP2E1,2.151,1.74e-18,0,0,0,cytochrome P450 family 2 subfamily E member 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.151,1.74e-18,17.7594507517174,0.027036770007209776,0.08737708999281191,0.0,0.0,0.0,0.02725162649964493,414
NCALD,-2.28,1.13e-15,0,0,0,neurocalcin delta,Cytoplasm,other,,,,,,,,,,,,,,,2.28,1.13e-15,14.94692155651658,0.050288392213410193,0.06866110292321877,0.0,0.0,0.0,0.027222954173486733,415
RGMA,-2.011,1.68e-21,0,0,0,repulsive guidance molecule BMP co-receptor a,Plasma Membrane,other,,,,,,,,,,,,,,,2.011,1.68e-21,20.774690718274137,0.0018024513338140147,0.10744201672213852,0.0,0.0,0.0,0.027220994447297434,416
GPC6,-2.299,3.92e-15,0,0,0,glypican 6,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,,2.299,3.92e-15,14.406713932979542,0.05371304974765684,0.06506628907585782,0.0,0.0,0.0,0.027009182218495825,417
RORA,-2.531,4.37e-10,0,0,0,RAR related orphan receptor A,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,,2.531,4.37e-10,9.359518563029578,0.09552992069214133,0.031479706777305314,0.0,0.0,0.0,0.026975910832754597,418
KIF20A,2.078,8.39e-20,0,0,0,kinesin family member 20A,Cytoplasm,other,,,,,,,,,,,,,,,2.078,8.39e-20,19.0762380391713,0.013878875270367685,0.09613965640010291,0.0,0.0,0.0,0.026810689154099267,419
PDLIM3,-2.083,1.16e-19,0,0,0,PDZ and LIM domain 3,Cytoplasm,other,,,,,,,,,,,,,,,2.083,1.16e-19,18.93554201077308,0.01478010093727472,0.09520339410183504,0.0,0.0,0.0,0.026756868712913703,420
PPIF,2.239,3.39e-16,0,0,0,peptidylprolyl isomerase F,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.239,3.39e-16,15.469800301796917,0.04289834174477286,0.07214060167911812,0.0,0.0,0.0,0.026614818768734103,421
TAP2,2.164,9.36e-18,0,0,0,"transporter 2, ATP binding cassette subfamily B member",Cytoplasm,transporter,,,,,,,,,,,,,,,2.164,9.36e-18,17.028724151261894,0.029379956741168,0.08251446683182585,0.0,0.0,0.0,0.026504608056190065,422
SFRP1,-2.234,3.16e-16,0,0,0,secreted frizzled related protein 1,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,,2.234,3.16e-16,15.500312917381596,0.04199711607786588,0.07234364800472312,0.0,0.0,0.0,0.026485335216753957,423
UST,-2.093,3.02e-19,0,0,0,uronyl 2-sulfotransferase,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.093,3.02e-19,18.51999305704285,0.01658255227108868,0.09243812188419229,0.0,0.0,0.0,0.026426040925265806,424
P4HA1,-2.016,6.83e-21,0,0,0,prolyl 4-hydroxylase subunit alpha 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.016,6.83e-21,20.165579296318466,0.0027036770007209943,0.10338868226548062,0.0,0.0,0.0,0.026387905966514354,425
PLIN2,-2.206,1.29e-16,0,0,0,perilipin 2,Plasma Membrane,other,,,,,,,,,,,,,,,2.206,1.29e-16,15.88941028970075,0.03695025234318672,0.074932898065332,0.0,0.0,0.0,0.026123274984970343,426
TMEM213,-2.153,9.39e-18,0,0,0,transmembrane protein 213,Other,other,,,,,,,,,,,,,,,2.153,9.39e-18,17.02733440773389,0.0273972602739726,0.08250521877781647,0.0,0.0,0.0,0.026105756749248636,427
CENPK,2.012,8.770000000000001e-21,0,0,0,centromere protein K,Nucleus,other,,,,,,,,,,,,,,,2.012,8.770000000000001e-21,20.05700040663396,0.0019826964671953995,0.10266614359856346,0.0,0.0,0.0,0.026063075193079946,428
UBE2T,2.016,1.2e-20,0,0,0,ubiquitin conjugating enzyme E2 T,Nucleus,enzyme,,,,,,,,,,,,,,,2.016,1.2e-20,19.920818753952375,0.0027036770007209943,0.10175992223202493,0.0,0.0,0.0,0.025980715958150432,429
GATA3,-2.016,1.5e-20,0,0,0,GATA binding protein 3,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.016,1.5e-20,19.82390874094432,0.0027036770007209943,0.10111503415282994,0.0,0.0,0.0,0.025819493938351683,430
CCL22,2.297,1.86e-14,0,0,0,C-C motif chemokine ligand 22,Extracellular Space,cytokine,,,,,,,,,,,,,,,2.297,1.86e-14,13.730487055782083,0.05335255948089407,0.06056633454691103,0.0,0.0,0.0,0.025812095532906573,431
SAPCD1,-2.198,1.42e-16,0,0,0,suppressor APC domain containing 1,Other,other,,,,,,,,,,,,,,,2.198,1.42e-16,15.847711655616944,0.03550829127613553,0.07465541433372705,0.0,0.0,0.0,0.02576551183865887,432
LHX2,-2.523,1.91e-09,0,0,0,LIM homeobox 2,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.523,1.91e-09,8.718966632752272,0.09408795962509015,0.02721715132901707,0.0,0.0,0.0,0.025621879757272297,433
THBS1,-2.361,6.99e-13,0,0,0,thrombospondin 1,Extracellular Space,other,,,,,,,,,,,,,,,2.361,6.99e-13,12.15552282425432,0.06488824801730358,0.050085728605950966,0.0,0.0,0.0,0.025499081754948458,434
